ID VERSION RESULT
[52/100] pin-project-lite 0.2.16 finished
[50/100] block-buffer 0.11.0-rc.4 pass
[50/100] block-buffer 0.11.0-rc.4 finished
[51/100] crossbeam-utils 0.8.21 pass
[51/100] crossbeam-utils 0.8.21 finished
[53/100] miniz_oxide 0.8.8 started
[54/100] anyhow 1.0.98 started
[55/100] mio 1.0.3 started
[56/100] memoffset 0.9.1 started
[56/100] memoffset 0.9.1 pass
[56/100] memoffset 0.9.1 finished
[53/100] miniz_oxide 0.8.8 pass
[53/100] miniz_oxide 0.8.8 finished
[55/100] mio 1.0.3 pass
[55/100] mio 1.0.3 finished
[54/100] anyhow 1.0.98 pass
[54/100] anyhow 1.0.98 finished
[57/100] rustix 1.0.7 started
[58/100] ppv-lite86 0.2.21 started
[59/100] tokio tokio-1.45.0 started
[60/100] byteorder 1.5.0 started
[58/100] ppv-lite86 0.2.21 pass
[58/100] ppv-lite86 0.2.21 finished
[57/100] rustix 1.0.7 pass
[57/100] rustix 1.0.7 finished
[60/100] byteorder 1.5.0 pass
[60/100] byteorder 1.5.0 finished
[59/100] tokio tokio-1.45.0 fail
[59/100] tokio tokio-1.45.0 finished
[61/100] percent-encoding 2.3.1 started
[62/100] windows-sys 0.59.0 started
[63/100] url 2.5.4 started
[64/100] http 1.3.1 started
[62/100] windows-sys 0.59.0 pass
[62/100] windows-sys 0.59.0 finished
[61/100] percent-encoding 2.3.1 pass
[61/100] percent-encoding 2.3.1 finished
[64/100] http 1.3.1 pass
[64/100] http 1.3.1 finished
[63/100] url 2.5.4 pass
[63/100] url 2.5.4 finished
[65/100] generic-array 1.2.0 started
[66/100] fastrand 2.3.0 started
[67/100] hyper 1.6.0 started
[68/100] toml 0.8.22 started
[66/100] fastrand 2.3.0 pass
[66/100] fastrand 2.3.0 finished
[67/100] hyper 1.6.0 fail
[67/100] hyper 1.6.0 finished
[65/100] generic-array 1.2.0 pass
[65/100] generic-array 1.2.0 finished
[68/100] toml 0.8.22 pass
[68/100] toml 0.8.22 finished
[69/100] linux-raw-sys 0.9.4 started
[70/100] windows_x86_64_msvc 0.53.0 started
[71/100] ahash 0.8.12 started
[72/100] slab 0.4.9 started
[70/100] windows_x86_64_msvc 0.53.0 pass
[70/100] windows_x86_64_msvc 0.53.0 finished
[69/100] linux-raw-sys 0.9.4 pass
[69/100] linux-raw-sys 0.9.4 finished
[72/100] slab 0.4.9 pass
[72/100] slab 0.4.9 finished
[71/100] ahash 0.8.12 pass
[71/100] ahash 0.8.12 finished
[73/100] futures-core 0.3.31 started
[74/100] sha2 0.10.9 started
[75/100] futures-util 0.3.31 started
[76/100] futures-task 0.3.31 started
[76/100] futures-task 0.3.31 pass
[76/100] futures-task 0.3.31 finished
[73/100] futures-core 0.3.31 pass
[73/100] futures-core 0.3.31 finished
[74/100] sha2 0.10.9 pass
[74/100] sha2 0.10.9 finished
[75/100] futures-util 0.3.31 pass
[75/100] futures-util 0.3.31 finished
[77/100] chrono 0.4.41 started
[78/100] fnv 1.0.7 started
[79/100] num_cpus 1.16.0 started
[80/100] futures-sink 0.3.31 started
[80/100] futures-sink 0.3.31 pass
[80/100] futures-sink 0.3.31 finished
[78/100] fnv 1.0.7 pass
[78/100] fnv 1.0.7 finished
[79/100] num_cpus 1.16.0 fail
[79/100] num_cpus 1.16.0 finished
[77/100] chrono 0.4.41 pass
[77/100] chrono 0.4.41 finished
[81/100] typenum 1.18.0 started
[82/100] futures-channel 0.3.31 started
[84/100] windows_x86_64_gnu 0.53.0 started
[83/100] rustls 0.23.27 started
[84/100] windows_x86_64_gnu 0.53.0 pass
[84/100] windows_x86_64_gnu 0.53.0 finished
[82/100] futures-channel 0.3.31 fail
[82/100] futures-channel 0.3.31 finished
[81/100] typenum 1.18.0 pass
[81/100] typenum 1.18.0 finished
[83/100] rustls 0.23.27 fail
[83/100] rustls 0.23.27 finished
[85/100] tracing 0.1.41 started
[86/100] tracing-core 0.1.33 started
[87/100] windows_i686_msvc 0.53.0 started
[88/100] windows_aarch64_msvc 0.53.0 started
[87/100] windows_i686_msvc 0.53.0 pass
[87/100] windows_i686_msvc 0.53.0 finished
[88/100] windows_aarch64_msvc 0.53.0 pass
[88/100] windows_aarch64_msvc 0.53.0 finished
[86/100] tracing-core 0.1.33 pass
[86/100] tracing-core 0.1.33 finished
[85/100] tracing 0.1.41 fail
[85/100] tracing 0.1.41 finished
[89/100] windows_i686_gnu 0.53.0 started
[90/100] futures 0.3.31 started
[91/100] http-body 1.0.1 started
[92/100] spin 0.10.0 started
[89/100] windows_i686_gnu 0.53.0 pass
[89/100] windows_i686_gnu 0.53.0 finished
[91/100] http-body 1.0.1 pass
[91/100] http-body 1.0.1 finished
[90/100] futures 0.3.31 fail
[90/100] futures 0.3.31 finished
[92/100] spin 0.10.0 pass
[92/100] spin 0.10.0 finished
[93/100] tempfile 3.20.0 started
[94/100] num-integer 0.1.46 started
[95/100] tokio-util 0.7.15 started
[96/100] unicode-normalization 0.1.24 started
[94/100] num-integer 0.1.46 fail
[94/100] num-integer 0.1.46 finished
[96/100] unicode-normalization 0.1.24 pass
[96/100] unicode-normalization 0.1.24 finished
[93/100] tempfile 3.20.0 pass
[93/100] tempfile 3.20.0 finished
[95/100] tokio-util 0.7.15 fail
[95/100] tokio-util 0.7.15 finished
[97/100] pkg-config 0.3.32 started
[98/100] pin-utils 0.1.0 started
[99/100] rustc_version 0.4.1 started
[100/100] h2 0.4.10 started
[98/100] pin-utils 0.1.0 pass
[98/100] pin-utils 0.1.0 finished
[99/100] rustc_version 0.4.1 pass
[99/100] rustc_version 0.4.1 finished
[97/100] pkg-config 0.3.32 pass
[97/100] pkg-config 0.3.32 finished
[100/100] h2 0.4.10 fail
[100/100] h2 0.4.10 finished
